source_index,source_label,source_specialty,source_disease,Sensitivity,Specificity,Prevalence,reported_sample_size,tp,fp,fn,tn,PPV,NPV,Youden's J,H(parent),H(children),Entropy Removal,% Removed,LR+,LR-,Proportion of Positive Cases,Proportion of Negative Cases,Positive Child Entropy,Negative Child Entropy,data_source,confidence,study,cutoff,source_excel_row,source_correction,catalog_id,canonical_name,match_method,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,calculator_key,confidence_group,evidence_group,sampling_design,integer_counts,count_total,sensitivity,specificity,prevalence,ppv,npv,youden_j,lr_positive,lr_negative,diagnostic_odds_ratio,parent_entropy_bits,positive_fraction,negative_fraction,positive_entropy_bits,negative_entropy_bits,conditional_entropy_bits,entropy_reduction_bits,entropy_removed_percent,parent_entropy_mm_bits,entropy_reduction_mm_bits,entropy_removed_mm_percent,positive_information_bits,negative_information_bits,positive_information_share_percent,negative_information_share_percent,information_contribution_pattern,included,exclusion_reason
0,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,Rheumatology,Polymyalgia Rheumatica,0.68,0.7810650888,0.425170068,294.0,85.0,37.0,40.0,132.0,0.6967213115,0.7674418605,0.4610650888,0.9837823438,0.8251100046,0.1586723392,16.12880534,3.105945946,0.4096969697,0.425170068,0.574829932,0.8852618941,0.7824441294,v1_raw,Moderate,"Dasgupta B, et al. 2012 provisional classification criteria for polymyalgia rheumatica: a EULAR/ACR collaborative initiative. Ann Rheum Dis. 2012;71:484–492.",Score ≥4 without ultrasound,2,,10514.0,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,Exact,https://www.mdcalc.com/calc/10514/2012-eular-acr-classification-criteria-polymyalgia-rheumatica,Diagnosis,"Family Practice, Hospitalist Medicine, Internal Medicine, Orthopedics, Palliative Care/Hospice, Primary Care, Rheumatology","Rheumatoid Arthritis, Polymyalgia Rheumatica",mdcalc:10514,Moderate,Count-based,Unclear,True,294.0,0.68,0.7810650887573964,0.42517006802721086,0.6967213114754098,0.7674418604651163,0.4610650887573966,3.105945945945946,0.4096969696969696,7.581081081081083,0.9837823437668064,0.41496598639455784,0.5850340136054422,0.8852618941204617,0.782444129406689,0.8251100045600233,0.15867233920678314,16.128805341153235,0.9862359067615155,0.15621877621207403,15.839899474462122,0.08991112805653714,0.06876121115024615,56.664651511417,43.335348488583,Balanced,True,
1,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,Cardiology; Infectious Disease,Infective Endocarditis,0.8421052632,0.9387755102,0.6705882353,595.0,336.0,12.0,63.0,184.0,0.9655172414,0.7449392713,0.7808807734,0.9143242464,0.4666366447,0.4476876017,48.96376788,13.75438596,0.1681922197,0.6705882353,0.3294117647,0.2163969325,0.8192010976,v1_raw,High,"van der Vaart TW, et al. External Validation of the 2023 Duke–International Society for Cardiovascular Infectious Diseases Diagnostic Criteria for Infective Endocarditis. Clin Infect Dis. 2024;78(4):922–929.",Definite IE; possible and rejected classifications treated as negativ,3,,10564.0,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,Exact,https://www.mdcalc.com/calc/10564/2023-duke-international-society-cardiovascular-infectious-diseases-iscvid-criteria,Diagnosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Infectious Disease, Internal Medicine, Primary Care, Surgery (Cardiothoracic)","Bacterial Infections, Endocarditis",mdcalc:10564,High,Count-based,Unclear,True,595.0,0.8421052631578947,0.9387755102040817,0.6705882352941176,0.9655172413793104,0.7449392712550608,0.7808807733619765,13.75438596491229,0.1681922196796339,81.77777777777781,0.914324246431782,0.584873949579832,0.4151260504201681,0.21639693245126448,0.8192010975968838,0.46663664470499217,0.44768760172678984,48.963767883650014,0.9155365952056382,0.44647525295293355,48.76651084085295,0.23129850329216087,0.21638909843462872,51.665157221243604,48.334842778756396,Balanced,True,
2,4 A’s Test for Delirium Screening,Geriatrics; Internal Medicine; Emergency Medicine,Delirium,0.7608695652,0.9393063584,0.1173469388,392.0,35.0,21.0,11.0,325.0,0.625,0.9672619048,0.7001759236,0.521686332,0.3145842866,0.2071020454,39.69857608,12.53623188,0.2545819398,0.1173469388,0.8826530612,0.9544340029,0.2079426672,v1_raw,High,"Shenkin SD, et al. Delirium detection in older acute medical inpatients: a multicentre prospective comparative diagnostic test accuracy study of the 4AT and CAM. BMC Med. 2019;17:138.",4AT ≥4,4,,3982.0,4 A’s Test for Delirium Screening,Exact,https://www.mdcalc.com/calc/3982/4-test-delirium-assessment,Diagnosis,"Family Practice, Geriatrics, Primary Care","Delirium, Dementia",mdcalc:3982,High,Count-based,Unclear,True,392.0,0.7608695652173914,0.9393063583815029,0.11734693877551021,0.625,0.9672619047619048,0.7001759235988942,12.536231884057973,0.254581939799331,49.24242424242426,0.5216863320210008,0.14285714285714285,0.8571428571428571,0.954434002924965,0.20794266719051402,0.3145842865811499,0.2071020454398509,39.69857608451085,0.5235265042670326,0.20526187319381906,39.20754183805795,0.1492948618986912,0.057807183541159615,72.08758444737391,27.912415552626086,Positive-result dominant,True,
3,4C Mortality Score for COVID-19,Infectious Disease; Critical Care; Internal Medicine,In-hospital mortality from COVID-19,0.7054673721,0.7397408207,0.3797722706,1493.0,400.0,241.0,167.0,685.0,0.624024961,0.8039906103,0.4452081929,0.9578810253,0.8174629486,0.1404180767,14.65923982,2.710633969,0.3981565159,0.3797722706,0.6202277294,0.9551496481,0.7138747157,v1_raw,Moderate,"Aletreby WT, et al. External Validation of 4C ISARIC Mortality Score in Critically Ill COVID-19 Patients From Saudi Arabia. Saudi J Med Med Sci. 2022;10(1):19–24.",Score >9 predicts in-hospital mortality,5,,10338.0,4C Mortality Score for COVID-19,Exact,https://www.mdcalc.com/calc/10338/4c-mortality-score-covid-19,Prognosis,"Critical Care, Emergency Medicine, Hospitalist Medicine, Infectious Disease, Internal Medicine, Pulmonology",Coronavirus,mdcalc:10338,Moderate,Count-based,Unclear,True,1493.0,0.7054673721340388,0.7397408207343412,0.3797722705961152,0.62402496099844,0.8039906103286385,0.44520819286838,2.7106339692785055,0.39815651591807316,6.807960841801871,0.957881025257634,0.4293369055592766,0.5706630944407234,0.9551496481143563,0.7138747156847927,0.8174629485631251,0.1404180766945089,14.65923982122328,0.9583641783188828,0.13993492363326007,14.601435111934935,0.07538300854141337,0.0650350681530955,53.68468954706973,46.31531045293027,Balanced,True,
4,4Ts Score for Heparin-Induced Thrombocytopenia,Hematology; Internal Medicine,Heparin-Induced Thrombocytopenia,0.976744186,0.3293172691,0.147260274,292.0,42.0,167.0,1.0,82.0,0.2009569378,0.9879518072,0.3060614551,0.6029414577,0.5448325974,0.05810886037,9.63756259,1.456343128,0.07061826432,0.147260274,0.852739726,0.7238378469,0.09408443883,v1_raw,High,"Pishko AM, et al. Prospective comparison of the HEP score and 4Ts score for the diagnosis of heparin-induced thrombocytopenia. Blood Adv. 2018;2(22):3155–3162.",≥4 positive; 0–3 negative,6,,1787.0,4Ts Score for Heparin-Induced Thrombocytopenia,Exact,https://www.mdcalc.com/calc/1787/4ts-score-heparin-induced-thrombocytopenia,Diagnosis,"Critical Care, Emergency Medicine, Hematology and Oncology, Hospitalist Medicine","Bleeding/Hemorrhage, Thrombocytopenia",mdcalc:1787,High,Count-based,Unclear,True,292.0,0.9767441860465116,0.3293172690763052,0.14726027397260275,0.20095693779904306,0.9879518072289156,0.3060614551228169,1.456343127698092,0.07061826432217823,20.622754491017925,0.6029414577254202,0.7157534246575342,0.2842465753424658,0.7238378469140183,0.09408443883267345,0.5448325973566497,0.0581088603687705,9.637562589904592,0.6054118259461204,0.05563849214807022,9.19018918421687,0.010848563178206047,0.04726029719056437,18.66937866163419,81.3306213383658,Negative-result dominant,True,
5,Abbreviated Mental Test (AMT-10),Geriatrics; Neurology; Psychiatry; Internal Medicine,"Abnormal cognitive function, including dementia or delirium",0.96,0.9428571429,0.4166666667,60.0,24.0,2.0,1.0,33.0,0.9230769231,0.9705882353,0.9028571429,0.9798687567,0.278017722,0.7018510347,71.62704494,16.8,0.04242424242,0.4166666667,0.5833333333,0.3912435636,0.1914332548,v1_raw,Moderate,"Chu et al., 1995, Validation of the Abbreviated Mental Test (Hong Kong version) in the elderly medical patient",AMT-10 <6 classified as abnormal,7,,10208.0,Abbreviated Mental Test (AMT-10),Exact,https://www.mdcalc.com/calc/10208/abbreviated-mental-test-amt-10,Diagnosis,"Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Primary Care, Psychiatry","Delirium, Dementia",mdcalc:10208,Moderate,Count-based,Unclear,True,60.0,0.96,0.9428571428571428,0.4166666666666667,0.9230769230769231,0.9705882352941176,0.9028571428571428,16.799999999999994,0.04242424242424246,395.9999999999995,0.9798687566511528,0.43333333333333335,0.5666666666666667,0.3912435636292555,0.19143325481419343,0.278017721967387,0.7018510346837659,71.62704494043122,0.9918912153252275,0.6898285760096912,69.54679760758904,0.3615951373829587,0.3402558973008074,51.52021148560152,48.47978851439848,Balanced,True,
6,Abbreviated Mental Test 4 (AMT-4),Emergency Medicine; Geriatrics; Neurology; Psychiatry,Cognitive impairment in older emergency-department patients,0.8008849558,0.88,0.3760399334,601.0,181.0,45.0,45.0,330.0,0.8008849558,0.88,0.6808849558,0.9551970709,0.6011069469,0.3540901239,37.06985027,6.674041298,0.2262670957,0.3760399334,0.6239600666,0.7201546487,0.5293608653,v1_raw,Moderate,"Schofield et al., 2010, Screening for cognitive impairment in older people attending accident and emergency using the 4-item Abbreviated Mental Test",AMT-4 ≤3 classified as cognitive impairment,8,,3995.0,Abbreviated Mental Test 4 (AMT-4),Exact,https://www.mdcalc.com/calc/3995/abbreviated-mental-test-4-amt-4,Diagnosis,"Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Primary Care, Psychiatry","Delirium, Dementia",mdcalc:3995,Moderate,Count-based,Unclear,True,601.0,0.8008849557522124,0.88,0.37603993344425957,0.8008849557522124,0.88,0.6808849557522123,6.674041297935104,0.22626709573612225,29.496296296296304,0.9551970708533672,0.37603993344425957,0.6239600665557404,0.72015464871211,0.5293608652873644,0.6011069469079842,0.3540901239453831,37.06985026964552,0.9563973163116776,0.3528898784870728,36.89783236197105,0.20509989799067568,0.14899022595470746,57.92307780442684,42.07692219557316,Balanced,True,
7,ABC Score for Massive Transfusion,Trauma Surgery; Emergency Medicine; Critical Care,Requirement for massive transfusion after traumatic injury,0.6015625,0.8401237751,0.06192549589,2067.0,77.0,310.0,51.0,1629.0,0.1989664083,0.9696428571,0.4416862751,0.3350414669,0.2942265632,0.0408149037,12.18204543,3.762676411,0.4742604742,0.06192549589,0.9380745041,0.7198560888,0.1961797618,v1_raw,Moderate,"Friese et al., 2023, Prehospital Validation of the Assessment of Blood Consumption Score",ABC score ≥2; massive transfusion defined as ≥10 units of packed red blood cells within 24 hours,9,,1228.0,ABC Score for Massive Transfusion,Exact,https://www.mdcalc.com/calc/1228/abc-score-massive-transfusion,"Prognosis, Treatment","Critical Care, Emergency Medicine, Hematology and Oncology, Hospitalist Medicine, Surgery (General), Surgery (Trauma)","Bleeding/Hemorrhage, Trauma",mdcalc:1228,Moderate,Count-based,Unclear,True,2067.0,0.6015625,0.8401237751418257,0.061925495887760036,0.19896640826873385,0.9696428571428571,0.44168627514182557,3.7626764112903226,0.4742604742173112,7.933776091081595,0.33504146692372017,0.18722786647314948,0.8127721335268505,0.719856088783891,0.19617976180385205,0.29422656322682017,0.040814903696899996,12.18204542609421,0.3353904497589618,0.04046592086165835,12.06531697331882,0.028559008680782205,0.012255895016117973,69.97201045203335,30.027989547966655,Positive-result dominant,True,
8,ABCD² Score for TIA,Neurology; Emergency Medicine; Internal Medicine,Ischemic stroke within 7 days after TIA,0.8636363636,0.3481675393,0.1872340426,470.0,76.0,249.0,12.0,133.0,0.2338461538,0.9172413793,0.2118039029,0.6956492982,0.6696338342,0.02601546393,3.7397384,1.324936108,0.3916609706,0.1872340426,0.8127659574,0.7846559937,0.4118255457,v1_raw,Moderate,"Ong et al., 2010, Validating the ABCD² Score for predicting stroke risk after transient ischemic attack in the ED",ABCD² ≥4; outcome: stroke within 7 days,10,,357.0,ABCD² Score for TIA,Exact,https://www.mdcalc.com/calc/357/abcd2-score-tia,Prognosis,"Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Neurology, Primary Care",Stroke / Transient Ischemic Attack (TIA),mdcalc:357,Moderate,Count-based,Unclear,True,470.0,0.8636363636363636,0.3481675392670157,0.18723404255319148,0.23384615384615384,0.9172413793103448,0.21180390290337936,1.3249361080686382,0.391660970608339,3.382864792503347,0.6956492981613016,0.6914893617021277,0.30851063829787234,0.784655993741464,0.41182554566795443,0.6696338342294239,0.026015463931877703,3.739738399886295,0.6971840801196941,0.02448068197348519,3.511365602221194,0.0067196350432193516,0.019295828888658387,25.829387708844724,74.17061229115528,Negative-result dominant,True,
9,ABIC Score for Alcoholic Hepatitis,Gastroenterology; Hepatology; Internal Medicine,Death within 28 days in patients with alcoholic hepatitis,0.5454545455,0.9152542373,0.1571428571,70.0,6.0,5.0,5.0,54.0,0.5454545455,0.9152542373,0.4607087827,0.6274303353,0.5090958092,0.118334526,18.86018564,6.436363636,0.4966329966,0.1571428571,0.8428571429,0.9940302115,0.4186843105,v1_raw,Moderate-low,"Božin et al., 2021, Comparison of prognostic scores for alcoholic hepatitis: a retrospective study",Admission ABIC >9.92; outcome: 28-day mortality,11,,10136.0,ABIC Score for Alcoholic Hepatitis,Exact,https://www.mdcalc.com/calc/10136/abic-score-alcoholic-hepatitis,Prognosis,"Gastroenterology, Hepatology, Toxicology","Drug/Alcohol Use, Hepatitis",mdcalc:10136,Moderate,Count-based,Unclear,True,70.0,0.5454545454545454,0.9152542372881356,0.15714285714285714,0.5454545454545454,0.9152542372881356,0.460708782742681,6.4363636363636365,0.49663299663299665,12.959999999999999,0.6274303352684106,0.15714285714285714,0.8428571428571429,0.9940302114769565,0.4186843105268563,0.5090958092475864,0.11833452602082428,18.86018564438736,0.6377352998461889,0.10802956144304597,16.939561204954607,0.09025679859307315,0.028077727427751244,76.27258216861402,23.727417831385978,Positive-result dominant,True,
