source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_positive,positive_fraction,observed_prevalence,post_positive_risk,post_positive_risk_lo,post_positive_risk_hi,highest_rulein_threshold_supported
0,2,mdcalc:10514,10514,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,https://www.mdcalc.com/calc/10514/2012-eular-acr-classification-criteria-polymyalgia-rheumatica,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,Polymyalgia Rheumatica,"Dasgupta B, et al. 2012 provisional classification criteria for polymyalgia rheumatica: a EULAR/ACR collaborative initiative. Ann Rheum Dis. 2012;71:484–492.",Score ≥4 without ultrasound,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,294,85,37,40,132,122,0.4149659864,0.425170068,0.6967213115,0.6101788071,0.7712535161,0.2
1,3,mdcalc:10564,10564,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,https://www.mdcalc.com/calc/10564/2023-duke-international-society-cardiovascular-infectious-diseases-iscvid-criteria,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,Infective Endocarditis,"van der Vaart TW, et al. External Validation of the 2023 Duke–International Society for Cardiovascular Infectious Diseases Diagnostic Criteria for Infective Endocarditis. Clin Infect Dis. 2024;78(4):922–929.",Definite IE; possible and rejected classifications treated as negativ,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,595,336,12,63,184,348,0.5848739496,0.6705882353,0.9655172414,0.9407029935,0.9801663125,0.2
2,4,mdcalc:3982,3982,4 A’s Test for Delirium Screening,https://www.mdcalc.com/calc/3982/4-test-delirium-assessment,4 A’s Test for Delirium Screening,Delirium,"Shenkin SD, et al. Delirium detection in older acute medical inpatients: a multicentre prospective comparative diagnostic test accuracy study of the 4AT and CAM. BMC Med. 2019;17:138.",4AT ≥4,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,392,35,21,11,325,56,0.1428571429,0.1173469388,0.625,0.4940536591,0.7398978567,0.2
3,5,mdcalc:10338,10338,4C Mortality Score for COVID-19,https://www.mdcalc.com/calc/10338/4c-mortality-score-covid-19,4C Mortality Score for COVID-19,In-hospital mortality from COVID-19,"Aletreby WT, et al. External Validation of 4C ISARIC Mortality Score in Critically Ill COVID-19 Patients From Saudi Arabia. Saudi J Med Med Sci. 2022;10(1):19–24.",Score >9 predicts in-hospital mortality,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1493,400,241,167,685,641,0.4293369056,0.3797722706,0.624024961,0.5858934115,0.6606788239,0.2
4,6,mdcalc:1787,1787,4Ts Score for Heparin-Induced Thrombocytopenia,https://www.mdcalc.com/calc/1787/4ts-score-heparin-induced-thrombocytopenia,4Ts Score for Heparin-Induced Thrombocytopenia,Heparin-Induced Thrombocytopenia,"Pishko AM, et al. Prospective comparison of the HEP score and 4Ts score for the diagnosis of heparin-induced thrombocytopenia. Blood Adv. 2018;2(22):3155–3162.",≥4 positive; 0–3 negative,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,292,42,167,1,82,209,0.7157534247,0.147260274,0.2009569378,0.15225033,0.2604580742,0.1
5,7,mdcalc:10208,10208,Abbreviated Mental Test (AMT-10),https://www.mdcalc.com/calc/10208/abbreviated-mental-test-amt-10,Abbreviated Mental Test (AMT-10),"Abnormal cognitive function, including dementia or delirium","Chu et al., 1995, Validation of the Abbreviated Mental Test (Hong Kong version) in the elderly medical patient",AMT-10 <6 classified as abnormal,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,60,24,2,1,33,26,0.4333333333,0.4166666667,0.9230769231,0.7585844623,0.9786449115,0.2
6,8,mdcalc:3995,3995,Abbreviated Mental Test 4 (AMT-4),https://www.mdcalc.com/calc/3995/abbreviated-mental-test-4-amt-4,Abbreviated Mental Test 4 (AMT-4),Cognitive impairment in older emergency-department patients,"Schofield et al., 2010, Screening for cognitive impairment in older people attending accident and emergency using the 4-item Abbreviated Mental Test",AMT-4 ≤3 classified as cognitive impairment,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,601,181,45,45,330,226,0.3760399334,0.3760399334,0.8008849558,0.7439854609,0.8477267597,0.2
7,9,mdcalc:1228,1228,ABC Score for Massive Transfusion,https://www.mdcalc.com/calc/1228/abc-score-massive-transfusion,ABC Score for Massive Transfusion,Requirement for massive transfusion after traumatic injury,"Friese et al., 2023, Prehospital Validation of the Assessment of Blood Consumption Score",ABC score ≥2; massive transfusion defined as ≥10 units of packed red blood cells within 24 hours,"Prognosis, Treatment",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,2067,77,310,51,1629,387,0.1872278665,0.06192549589,0.1989664083,0.1622358981,0.241614449,0.1
8,10,mdcalc:357,357,ABCD² Score for TIA,https://www.mdcalc.com/calc/357/abcd2-score-tia,ABCD² Score for TIA,Ischemic stroke within 7 days after TIA,"Ong et al., 2010, Validating the ABCD² Score for predicting stroke risk after transient ischemic attack in the ED",ABCD² ≥4; outcome: stroke within 7 days,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,470,76,249,12,133,325,0.6914893617,0.1872340426,0.2338461538,0.1911011673,0.2828094502,0.1
9,11,mdcalc:10136,10136,ABIC Score for Alcoholic Hepatitis,https://www.mdcalc.com/calc/10136/abic-score-alcoholic-hepatitis,ABIC Score for Alcoholic Hepatitis,Death within 28 days in patients with alcoholic hepatitis,"Božin et al., 2021, Comparison of prognostic scores for alcoholic hepatitis: a retrospective study",Admission ABIC >9.92; outcome: 28-day mortality,Prognosis,Unclear,v1_raw,human-extracted,Moderate-low,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,70,6,5,5,54,11,0.1571428571,0.1571428571,0.5454545455,0.2800915374,0.7872872838,0.2
