source_index,source_excel_row,calculator_key,catalog_id,canonical_name,catalog_url,source_label,source_disease,study,cutoff,catalog_purpose,sampling_design,data_source,provenance,confidence,confidence_group,evidence_group,exact_outcome_note,N,tp,fp,fn,tn,n_negative,negative_fraction,observed_prevalence,post_negative_risk,post_negative_risk_lo,post_negative_risk_hi,lowest_ruleout_threshold_supported
0,2,mdcalc:10514,10514,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,https://www.mdcalc.com/calc/10514/2012-eular-acr-classification-criteria-polymyalgia-rheumatica,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,Polymyalgia Rheumatica,"Dasgupta B, et al. 2012 provisional classification criteria for polymyalgia rheumatica: a EULAR/ACR collaborative initiative. Ann Rheum Dis. 2012;71:484–492.",Score ≥4 without ultrasound,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,294,85,37,40,132,172,0.5850340136,0.425170068,0.2325581395,0.175686091,0.3011153378,
1,3,mdcalc:10564,10564,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,https://www.mdcalc.com/calc/10564/2023-duke-international-society-cardiovascular-infectious-diseases-iscvid-criteria,2023 Duke-International Society for Cardiovascular Infectious Diseases (ISCVID) Criteria,Infective Endocarditis,"van der Vaart TW, et al. External Validation of the 2023 Duke–International Society for Cardiovascular Infectious Diseases Diagnostic Criteria for Infective Endocarditis. Clin Infect Dis. 2024;78(4):922–929.",Definite IE; possible and rejected classifications treated as negativ,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,595,336,12,63,184,247,0.4151260504,0.6705882353,0.2550607287,0.2047390856,0.3128845139,
2,4,mdcalc:3982,3982,4 A’s Test for Delirium Screening,https://www.mdcalc.com/calc/3982/4-test-delirium-assessment,4 A’s Test for Delirium Screening,Delirium,"Shenkin SD, et al. Delirium detection in older acute medical inpatients: a multicentre prospective comparative diagnostic test accuracy study of the 4AT and CAM. BMC Med. 2019;17:138.",4AT ≥4,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,392,35,21,11,325,336,0.8571428571,0.1173469388,0.03273809524,0.0183769866,0.0576627612,0.1
3,5,mdcalc:10338,10338,4C Mortality Score for COVID-19,https://www.mdcalc.com/calc/10338/4c-mortality-score-covid-19,4C Mortality Score for COVID-19,In-hospital mortality from COVID-19,"Aletreby WT, et al. External Validation of 4C ISARIC Mortality Score in Critically Ill COVID-19 Patients From Saudi Arabia. Saudi J Med Med Sci. 2022;10(1):19–24.",Score >9 predicts in-hospital mortality,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,1493,400,241,167,685,852,0.5706630944,0.3797722706,0.1960093897,0.1707429379,0.2240047754,
4,6,mdcalc:1787,1787,4Ts Score for Heparin-Induced Thrombocytopenia,https://www.mdcalc.com/calc/1787/4ts-score-heparin-induced-thrombocytopenia,4Ts Score for Heparin-Induced Thrombocytopenia,Heparin-Induced Thrombocytopenia,"Pishko AM, et al. Prospective comparison of the HEP score and 4Ts score for the diagnosis of heparin-induced thrombocytopenia. Blood Adv. 2018;2(22):3155–3162.",≥4 positive; 0–3 negative,Diagnosis,Unclear,v1_raw,human-extracted,High,High,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,292,42,167,1,82,83,0.2842465753,0.147260274,0.01204819277,0.002129977428,0.06513580668,0.1
5,7,mdcalc:10208,10208,Abbreviated Mental Test (AMT-10),https://www.mdcalc.com/calc/10208/abbreviated-mental-test-amt-10,Abbreviated Mental Test (AMT-10),"Abnormal cognitive function, including dementia or delirium","Chu et al., 1995, Validation of the Abbreviated Mental Test (Hong Kong version) in the elderly medical patient",AMT-10 <6 classified as abnormal,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,60,24,2,1,33,34,0.5666666667,0.4166666667,0.02941176471,0.005210906276,0.1491557329,0.2
6,8,mdcalc:3995,3995,Abbreviated Mental Test 4 (AMT-4),https://www.mdcalc.com/calc/3995/abbreviated-mental-test-4-amt-4,Abbreviated Mental Test 4 (AMT-4),Cognitive impairment in older emergency-department patients,"Schofield et al., 2010, Screening for cognitive impairment in older people attending accident and emergency using the 4-item Abbreviated Mental Test",AMT-4 ≤3 classified as cognitive impairment,Diagnosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,601,181,45,45,330,375,0.6239600666,0.3760399334,0.12,0.09090426122,0.1568021517,0.2
7,9,mdcalc:1228,1228,ABC Score for Massive Transfusion,https://www.mdcalc.com/calc/1228/abc-score-massive-transfusion,ABC Score for Massive Transfusion,Requirement for massive transfusion after traumatic injury,"Friese et al., 2023, Prehospital Validation of the Assessment of Blood Consumption Score",ABC score ≥2; massive transfusion defined as ≥10 units of packed red blood cells within 24 hours,"Prognosis, Treatment",Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,2067,77,310,51,1629,1680,0.8127721335,0.06192549589,0.03035714286,0.02316410972,0.03969303058,0.05
8,10,mdcalc:357,357,ABCD² Score for TIA,https://www.mdcalc.com/calc/357/abcd2-score-tia,ABCD² Score for TIA,Ischemic stroke within 7 days after TIA,"Ong et al., 2010, Validating the ABCD² Score for predicting stroke risk after transient ischemic attack in the ED",ABCD² ≥4; outcome: stroke within 7 days,Prognosis,Unclear,v1_raw,human-extracted,Moderate,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,470,76,249,12,133,145,0.3085106383,0.1872340426,0.08275862069,0.04797375047,0.1390807103,0.2
9,11,mdcalc:10136,10136,ABIC Score for Alcoholic Hepatitis,https://www.mdcalc.com/calc/10136/abic-score-alcoholic-hepatitis,ABIC Score for Alcoholic Hepatitis,Death within 28 days in patients with alcoholic hepatitis,"Božin et al., 2021, Comparison of prognostic scores for alcoholic hepatitis: a retrospective study",Admission ABIC >9.92; outcome: 28-day mortality,Prognosis,Unclear,v1_raw,human-extracted,Moderate-low,Moderate,Count-based,Exact outcome is not separately encoded in every frozen row; verify against source.,70,6,5,5,54,59,0.8428571429,0.1571428571,0.08474576271,0.03674203302,0.1835179527,0.2
